Date,ACME,ADAX,ALTU,APAC,ARNE,BEAV,BESS,BIXB,BLAC,BOIS,BOWL,BREC,BRIS,BUFF,BURB,BURN,BUTL,BYAR,CAMA,CENT,CHAN,CHER,CHEY,CHIC,CLAY,CLOU,COOK,COPA,DURA,ELRE,ERIC,EUFA,FAIR,FORA,FREE,FTCB,GOOD,GUTH,HASK,HINT,HOBA,HOLL,HOOK,HUGO,IDAB,JAYX,KENT,KETC,LAHO,LANE,MADI,MANG,MARE,MAYR,MCAL,MEDF,MEDI,MIAM,MINC,MTHE,NEWK,NINN,NOWA,OILT,OKEM,OKMU,PAUL,PAWN,PERK,PRYO,PUTN,REDR,RETR,RING,SALL,SEIL,SHAW,SKIA,SLAP,SPEN,STIG,STIL,STUA,SULP,TAHL,TALI,TIPT,TISH,VINI,WASH,WATO,WAUR,WEAT,WEST,WILB,WIST,WOOD,WYNO
20080101,25818421.525695827,25823339.17248716,25932951.606106523,25763430.66171022,25150016.291421235,24751442.231886014,25507738.442937344,25208162.60501321,24777504.50697522,24812324.387506247,25628680.43925057,24965315.910940006,25306111.253097143,24735429.641210966,24843384.869471047,26286422.806819703,25407259.82245443,25796794.111060716,25173334.154429697,25921338.888335735,25374299.13390635,24781135.509089142,25431434.390070263,25701745.41302142,25896642.72314258,26119019.55950766,25359561.13706893,24691418.85043617,26272660.335374724,25429942.755520698,25611601.284370665,25559319.311821885,25046187.584701527,24729862.935468122,24793655.52610229,25640844.04143156,24862050.63222199,25269654.236139048,25323391.37586643,25464015.107452724,25724169.70195244,25882263.31448499,24722451.1594413,26216845.266595647,26318207.553994533,24926621.009171195,24736954.01989346,25962800.422321882,24980448.05221921,26075426.030530017,26214518.98815133,25804278.406195693,25153793.909529384,24649040.819401726,25779678.474840205,24756625.253297854,25859483.627493158,24703202.948280025,25575941.021999918,26074271.266548555,24698081.310017575,25735483.33566993,24783166.24749154,25171538.767747916,25491583.101486724,25411812.878316812,25866400.47839212,24992905.421936434,25189172.975330587,24988340.274207126,25242975.92266585,24995790.218946375,25654646.404226404,26134383.016118526,25487992.89027636,25085971.183765173,25526970.24662847,24963266.91960355,24864239.773076978,25433266.834344916,25579243.18910742,25123225.377688676,25782776.971453674,25943510.690778308,25203039.618551575,25868599.444989026,26008792.804119892,26063338.441526577,24765678.127459947,25727860.467701018,25273583.936628897,26147626.441359866,25451371.388538256,25182188.151082747,25769947.102257043,25726426.111200664,24959399.546066746,24907191.19666798
20080102,25875540.93241023,25880428.286798958,25989689.456064846,25820739.976031307,25209463.001658343,24812261.315967243,25565943.76195497,25267357.57088622,24838186.581515756,24872965.605489407,25686443.404042054,25025366.87291852,25364964.868403774,24796286.435048908,24903833.654890902,26341931.339058306,25465817.357831243,25853971.85184928,25232687.37116649,25978096.521177106,25432937.624458134,24841817.85856514,25489907.103496037,25759272.42565654,25953464.65145875,26175072.70149734,25418215.127709124,24752376.21276734,26328196.087741602,25488407.367298245,25669451.58008462,25617307.49744741,25105972.405627955,24790704.99198608,24854313.151879277,25698577.48954199,24922505.70953646,25328650.962871436,25382189.39060104,25522358.67545229,25781635.4024061,25939194.83697187,24783379.23863631,26272570.236234654,26373571.924010478,24986764.397776578,24797858.552553587,26019426.140767977,25040441.047749277,26131647.9189231,26270273.377976123,25861461.194035176,25213193.130807597,24710194.31085313,25836899.91718614,24817394.085970752,25916476.029650334,24764106.77524917,25633902.85683345,26130483.65507431,24759033.67518531,25792892.860349346,24843806.628115583,25230858.07856556,25549798.05641986,25470306.912649263,25923348.726358905,25052838.405280177,25248447.240734395,25048276.459125355,25302081.339367013,25055725.387417424,25712351.246089317,26190415.925672825,25546203.738929704,25145618.78883669,25585086.240820155,25023302.70527159,24924672.202608768,25491698.115143348,25637151.253286667,25182725.16087801,25839997.83073144,26000183.02449139,25262235.35999192,25925521.45190511,26065271.23280743,26119597.65369557,24826381.956678335,25785291.55476393,25332586.62572418,26203614.424058896,25509756.364216346,25241455.90847144,25827207.168185417,25783817.93043989,25019482.298420995,24967426.762394853
20080103,25935740.353199545,25940594.0112535,26049478.047545332,25881152.519212745,25272196.607181877,24876492.182498466,25627335.085704383,25329826.581024837,24902283.85604972,24937007.15012127,25747347.528512646,25088762.010163534,25427064.024900563,24860568.014618576,24967668.621884927,26400371.224197756,25527589.098411374,25914242.810367588,25295332.42106757,26037900.968227696,25494801.095826704,24905911.78051638,25551579.260199897,25819914.497154504,26013340.016827345,26234114.894405454,25480092.563884214,24816770.684973218,26386674.234611508,25550077.75627489,25730453.84934628,25678454.435580786,25169084.12179588,24854971.927292835,24918369.139492434,25759452.40960831,24986337.270620443,25390899.489360906,25444227.643936526,25583892.566262264,25842210.63698477,25999195.061503816,24847738.969775736,26331262.14680593,26431860.317505687,25050275.52293415,24862179.62980311,26079084.473584946,25103783.73219113,26190873.817656256,26328992.034904696,25921732.37099855,25275882.52156844,24774798.449070215,25897220.143766135,24881576.183021966,25976545.419143,24828449.152571093,25695021.844232336,26189697.905720524,24823415.6080011,25853406.167243753,24907851.421519127,25293463.544206128,25611204.773238726,25532005.7313847,25983373.40110555,25116114.993901696,25311004.322454855,25111550.759875655,25364452.246142298,25119007.57471102,25773184.998612974,26249429.104505476,25607600.63956951,25208576.884594455,25646370.821382392,25086693.4029654,24988480.671628714,25553331.68396223,25698224.32337763,25245529.67897857,25900321.011522222,26059906.77019036,25324702.393124968,25985511.26999149,26124772.6254634,26178866.827324316,24890496.866614092,25845839.742714915,25394837.497458447,26262590.23715855,25571344.51527899,25304006.215208363,25887560.75396545,25844327.455736645,25082921.97021772,25031027.22135714
20080104,25998964.274430543,26003779.30183891,26112261.1668471,25944611.31586166,25338153.30557887,24944072.530471195,25691842.35815207,25395500.011094302,24969729.00870109,25004376.344480958,25811325.88671211,25155438.594678544,25492350.00503466,24928211.696302872,25034829.830530662,26461685.944478936,25592504.632112097,25977550.120089468,25361200.83990894,26100688.952277556,25559819.04492151,24973354.055256654,25616393.16541972,25883609.107171685,26076212.21165426,26296092.248593282,25545135.7407157,24884540.696584474,26448041.3089278,25614884.096624628,25794549.03139238,25742698.9429586,25235451.077423587,24922591.48531701,24985759.368638445,25823411.077873036,25053482.81035855,25456341.642072707,25509435.720263235,25648559.787391067,25905830.317149345,26062195.323954385,24915458.651286677,26392856.136173915,26493019.600568388,25117082.36864694,24929850.212787133,26141719.585834015,25170413.931651168,26253036.871762794,26390607.691508558,25985036.175025515,25341792.753063228,24842780.294886027,25960582.10956022,24949101.50622435,26039623.615181383,24896162.74736246,25759230.98271866,26251849.030766755,24891165.655634575,25916963.524227783,24975240.206731685,25359296.29868919,25675741.98203669,25596849.754214473,26046408.169544656,25182674.898836683,25376773.194931164,25178103.03869265,25430029.120169733,25185565.55955589,25837088.98722968,26311367.976570506,25672126.909905203,25274786.76525871,25710762.713445358,25153366.794277336,25055600.243616503,25618110.625418574,25762393.27552051,25311567.434450354,25963680.472756457,26122622.138898894,25390381.141979188,26048501.456237063,26187242.723953355,26241090.344047956,24957952.53846971,25909436.18216763,25460274.39833198,26324493.42751646,25636075.456649445,25369769.22561165,25950946.458669376,25907895.197905045,25149655.391814966,25097924.19434379
20080105,26065152.049684964,26069925.047902863,26177971.870629493,26011048.93517815,25407269.937009998,25014937.442661062,25759392.657249164,25464309.718197733,25040444.327262275,25074999.201893765,25878313.82351129,25225333.15466572,25560753.91360904,24999143.580919627,25105250.358032227,26525818.84103414,25660493.372106552,26043826.39872684,25430216.26145414,26166399.612839907,25627920.49903694,25044070.04565103,25684286.984747313,25950295.362772085,26142022.617664725,26360942.657547064,25613281.903669056,24955614.357919905,26512235.156997625,25682757.475112755,25861666.675602797,25809980.303238194,25305001.689640585,24993491.829346363,25056419.28864602,25890384.971026924,25123878.278599184,25524913.659913633,25577743.247825228,25716297.823574048,25972431.712227914,26128124.318110198,24986460.61965505,26457280.24015235,26556991.924142566,25187109.33590478,25000804.341653194,26207272.968897022,25240257.985885926,26318072.0958215,26455051.6498545,26051307.80154892,25410856.270847607,24914066.926643845,26026918.168909434,25019901.64216243,26105638.152569905,24967169.706313647,25826465.57582328,26316874.690091405,24962217.930564687,25983505.2493939,25045906.465578042,25428287.8585347,25743336.90439995,25664777.93276678,26112379.36724867,25252447.190133836,25445682.44633922,25247869.466132976,25498741.772897843,25255323.065468237,25904003.134868402,26376174.11323038,25739717.48308889,25344181.722278003,25778201.0708408,25223248.815959573,25125966.42887481,25685970.326236516,25829584.688581083,25380765.457487594,26030002.264283128,26188257.91796864,25459208.867599133,26114426.33304685,26252618.94904719,26306201.822100412,25028680.213219896,25976008.89535141,25528835.22272034,26389252.665751826,25703877.29251331,25438676.49843295,26017304.2065166,25974450.229617614,25219607.85472754,25168051.086278006
20080106,26134232.11796117,26138963.663151607,26246532.617109597,26080387.17651939,25479478.513705004,25089013.02261001,25829916.10471353,25536189.11268475,25114348.699392334,25148804.417015765,25948247.439690568,25298375.34107641,25632195.767133992,25073280.321634587,25178851.55221581,26592706.96711553,25731487.77460299,26112993.552184366,25502302.31815337,26234970.845467616,25699037.54056412,25117976.58148671,25755188.570471056,26019909.210698653,26210704.177302044,26428592.188784424,25684457.405595005,25029908.807678565,26579181.866904706,25753631.577543087,25931727.403965324,25880232.46728642,25377666.993263654,25067603.07179044,25130278.00203176,25960295.186336584,25197451.78644824,25596540.6019658,25649082.69350426,25787032.98006001,26041951.629351728,26196914.029807158,25060668.557556152,26524463.40603261,26623708.824788958,25260283.34378551,25074972.528999835,26275677.01406596,25313233.65744167,26385917.093896385,26522258.83896151,26120470.7237146,25483006.43652437,24988587.578305297,26096150.089674603,25093907.991781343,26174519.254060358,25041388.538166285,25896661.455375098,26384713.439635467,25036496.04323897,26052965.72328049,25119772.260176595,25500358.23811776,25813909.861490104,25735721.386977743,26181213.9942193,25325350.21015035,25517663.48927824,25320776.24216807,25570509.488511648,25328205.79575484,25973859.567318145,26443779.03442004,25810295.381600123,25416683.143837124,25848619.663215015,25296268.254227612,25199509.77571383,25756834.28427144,25899727.700100247,25453053.712799773,26099212.519899677,26256736.439610165,25531113.32164753,26183222.620694008,26320826.83025454,26374124.394352574,25102611.320371278,26045488.93529974,25600452.065840643,26456792.12217647,25774669.851916287,25510661.22806792,26086570.105276115,26043913.703201767,25292697.119570613,25241340.19395373
20080107,26206122.08795452,26210815.33203081,26317863.295162503,26152544.832597144,25554699.764869764,25166213.288719658,25903344.647774234,25611067.056217734,25191364.41025885,25225719.998276986,26021056.850312732,25374482.660221677,25706591.87545132,25150537.694689024,25255545.897878814,26662275.515969437,25805419.320621487,26184970.605456796,25577386.4998807,26306332.128047906,25773101.55465767,25194990.685780905,25829014.241594464,26092376.473227374,26282177.57941708,26498959.589099158,25758577.72072341,25107337.755337153,26648800.927188236,25827437.537226938,26004651.73091441,25953377.85386524,25453376.062293213,25144851.97279408,25207252.64133535,26033060.61165827,25274119.177634295,25671137.18968409,25723385.009171568,25860681.039657857,26114319.339733526,26268498.57204605,25138008.91944273,26594339.088444393,26693090.654925294,25336532.94106814,25152274.834078386,26346851.97478757,25389258.91855802,26456506.398346756,26592165.62188949,26192442.434990644,25558170.991658628,25066268.739782296,26168197.002421275,25171044.8807935,26246200.30133545,25118741.017594017,25969748.139130518,26455297.958274703,25113912.414691553,26125267.55533221,25196749.859804187,25575422.56813737,25887383.01211507,25809598.9600146,26252843.409104057,25401299.46858634,25592646.525421694,25396737.81959984,25645249.046234768,25404142.121614285,26046578.203726396,26514102.66232026,25883776.467774656,25492204.823884048,25921940.69139252,25372354.09918092,25276149.440154236,25830617.873080052,25972754.250285096,25528362.147778027,26171241.726985212,26327982.317077845,25606010.351765104,26254823.699746046,26391784.60347489,26444778.799807556,25179670.73092915,26117809.538085233,25675045.26933506,26527039.47865124,25848373.573031336,25585652.223783992,26158669.65876169,26116207.728914317,25368842.151779167,25317715.581127528
20080108,26280737.656514775,26285393.54293383,26391888.96499356,26227445.664456476,25632843.72619986,25246446.734737657,25979604.686290324,25688860.789119665,25271415.923261575,25305665.324940875,26096659.97611519,25453563.940909185,25783863.09059249,25230836.254691828,25335246.736477356,26734440.056998115,25882210.572413877,26259681.610132568,25655395.743717235,26380400.3699706,25850035.29104972,25275034.113864526,25905676.93347403,26167611.043213297,26356356.692446988,26571966.089660443,25835556.348243397,25187819.24538797,26721014.941554006,25904096.18449408,26080365.49009437,26029328.519112363,25532048.140281834,25225154.364987772,25287251.151032574,26108605.243581276,25353788.906956136,25748617.092363738,25800571.719432928,25937156.475280035,26189451.56919033,26342806.888004765,25218404.719902676,26666840.806884754,26765055.03006758,25415780.98970049,25232619.693899088,26420712.348077625,25468256.62021998,26529763.962455347,26664702.241253536,26267143.93426454,25636265.576169733,25147026.41981437,26242983.126543876,25251224.112349503,26320611.27059348,25199151.13139063,26045642.840748306,26528548.82021276,25194376.80690922,26200323.540640682,25276751.2437302,25653399.9240472,25963683.37023583,25886321.91799458,26327198.89295434,25480215.129324142,25670552.619243007,25475664.662962794,25722882.107381046,25483056.496921305,26122071.4471523,26587061.093611863,25960079.15280579,25570662.673110854,25998076.02262928,25451427.714609686,25355793.935985595,25907238.169765364,26048592.36312104,25606612.825808123,26246020.770239946,26401925.271151945,25683811.099530723,26329152.122655794,26465413.022779617,26518091.007089734,25259770.88770284,26192898.93254905,25752525.295521352,26599926.790224012,25924914.090447854,25663566.767292168,26233516.760767322,26191259.72041875,25447966.548528746,25397088.719277788
20080109,26358000.83637656,26362615.716746993,26468538.65238147,26305017.536920674,25713819.90323257,25329626.35990636,26058610.18374961,25769476.896942392,25354421.619948328,25388546.97855059,26174965.42866325,25535530.098032407,25863934.325436875,25314097.467539262,25417873.333912198,26809117.133051243,25961771.357561756,26337054.683891177,25736247.69613774,26457086.06657296,25929748.69179923,25358028.462677654,25985095.26364912,26245523.531445585,26433159.214439176,26647539.364748236,25915312.876931816,25271274.374034457,26795752.926974166,25983516.236446965,26158795.895670496,26107996.501786634,25613590.176906567,25308414.57875326,25370182.992379606,26186856.369302873,25436372.679660916,25828900.218959454,25880551.74060304,26016380.00100625,26267257.513283122,26419755.643977836,25301767.41216204,26741893.553802505,26839525.77280952,25497937.823870227,25315913.2012911,26497177.223377407,25550149.735489756,26605601.882332362,26739786.375620726,26344502.030864984,25717196.279556397,25230764.796394646,26320436.547154997,25334349.695920885,26397670.754820656,25282536.86700132,26124253.856958702,26604377.03732662,25277804.623331673,26278047.239404324,25359694.38165707,25734213.952656873,26042736.88096201,25965804.689435974,26404202.989090268,25562020.32088429,25751290.173549052,25557472.50910005,25803333.425830375,25564861.60614784,26200254.95679253,26662576.131601512,26039127.741609175,25651978.318198342,26076937.5639019,25533397.631877284,25438351.362656776,25986618.416160963,26127158.357500777,25687714.968773425,26323472.266144473,26478494.19116055,25764431.766666498,26406118.676100455,26541639.187339183,26593990.894979738,25342815.78096607,26270673.099413782,25832803.300306834,26675383.43095831,26004217.502225865,25744311.372064795,26311022.902653888,26268997.5453934,25529992.783657316,25479364.76265312
20080110,26437837.97808469,26442406.303556744,26547736.500860397,26385183.645449664,25797545.123899877,25415670.684239402,26140265.869053867,25852822.527287606,25440286.85366722,25474266.519683834,26255884.175555255,25620299.005801097,25946725.788694985,25400234.04215884,25503345.305986334,26886231.196876273,26044006.68768676,26417013.21555322,25819847.10886529,26536304.7550309,26012146.41881415,25443885.550419603,26067192.685514025,26326031.348894797,26512509.925585482,26725607.517977584,25997770.669038154,25357618.09987158,26872943.893155426,26065604.0015847,26239861.99881532,26189301.36421105,25697906.136952687,25394536.041058592,25455964.623588227,26267735.43735298,25521788.663621135,25911909.43092384,25963229.96104792,26098275.63433704,26347650.53068077,26499251.63790182,25387997.4032663,26819409.231670074,26916432.165220432,25582904.93769651,25402068.22999538,26576172.378393322,25634851.716522932,26683930.246320963,26817326.63242102,26424442.10889099,25800871.27511384,25317386.392128468,26400480.32601759,25420329.49115116,26477285.937623896,25368803.175644,26205492.299084425,26682695.606330562,25364114.77541589,26358359.886003383,25445498.756936584,25817784.54895151,26124459.053104643,26047968.66574233,26483765.23157718,25646631.868176877,25834763.218671467,25642081.802518643,25886521.621628784,25649459.522973124,26281051.621517666,26740575.50533052,26120845.756382056,25736072.47298392,26158444.723589096,25618165.959337674,25523736.928812437,26068682.123500336,26208357.674133103,25771571.6187495,26403505.70012745,26557607.83793817,25847794.076303404,26485632.530448727,26620390.373135798,26672403.41834224,25428712.647372756,26351037.974572632,25915797.84669941,26753327.353273965,26086200.78683123,25827792.924875062,26391106.688358333,26349340.015715722,25614832.75115837,25564453.86324265
